"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Weird, I keep trying to turn on UF/FSU but my fingers just won't work. Oh well I guess I'll have to do anything else",FALSE,0,NA,2017-11-25 17:16:26,FALSE,NA,"934470846697099264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rrob_IV",0,FALSE,FALSE,NA,NA
"RT @GatorDave_SEC: Once again the UF OL can‚Äôt handle a FSU DL.",FALSE,0,NA,2017-11-25 17:16:03,FALSE,NA,"934470753487073282",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","J_Stas93",3,TRUE,FALSE,NA,NA
"RT @GatorDave_SEC: Once again the UF OL can‚Äôt handle a FSU DL.",FALSE,0,NA,2017-11-25 17:13:24,FALSE,NA,"934470085133176832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bstacks123",3,TRUE,FALSE,NA,NA
"RT @GatorDave_SEC: Once again the UF OL can‚Äôt handle a FSU DL.",FALSE,0,NA,2017-11-25 17:13:23,FALSE,NA,"934470079961550848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cdeal13",3,TRUE,FALSE,NA,NA
"Once again the UF OL can‚Äôt handle a FSU DL.",FALSE,30,NA,2017-11-25 17:13:16,FALSE,NA,"934470050450427904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GatorDave_SEC",3,FALSE,FALSE,NA,NA
"@ScooterMagruder Lol.  FSU defense 7.  UF defense 0.  Game On now.  #Grumors",FALSE,0,"ScooterMagruder",2017-11-25 17:13:14,FALSE,"934467088441372673","934470042959405056","32740920","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zelmbini",0,FALSE,FALSE,NA,NA
"Nov 26, 1994; almost 14yo me is extremely upset about FSU losing to UF, my gator uncle tries to get me to leave hou‚Ä¶ https://t.co/YdqA7jvaoc",FALSE,4,NA,2017-11-25 15:49:22,TRUE,NA,"934448936412221442",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mattmoore3476",0,FALSE,FALSE,NA,NA
"Clearly some is excited for FSU vs UF today https://t.co/xxoliDxglg",FALSE,10,NA,2017-11-25 14:32:07,FALSE,NA,"934429498438770688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThatGuyEdub",0,FALSE,FALSE,NA,NA
"RT @BrettHastings: Never been less excited for Florida/FSU fball and more excited for a regular season basketball game UF/Duke. We are offi‚Ä¶",FALSE,0,NA,2017-11-25 13:56:02,FALSE,NA,"934420417330237441",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Scott0020",2,TRUE,FALSE,NA,NA
"RT @BrettHastings: Never been less excited for Florida/FSU fball and more excited for a regular season basketball game UF/Duke. We are offi‚Ä¶",FALSE,0,NA,2017-11-25 13:41:31,FALSE,NA,"934416764225638400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","edmonspk",2,TRUE,FALSE,NA,NA
"Never been less excited for Florida/FSU fball and more excited for a regular season basketball game UF/Duke. We are‚Ä¶ https://t.co/c88eVjp2tL",FALSE,5,NA,2017-11-25 12:35:48,TRUE,NA,"934400223203471362",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrettHastings",2,FALSE,FALSE,NA,NA
"RT @BigCountry_3427: This UCF/USF shootout is a good counter for tomorrow‚Äôs UF/FSU game that will end 3-2",FALSE,0,NA,2017-11-25 05:25:34,FALSE,NA,"934291951108706304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IsenbergKc",2,TRUE,FALSE,NA,NA
"@VictorBuresch @Gatorsky65 @dmm12345 @DarrenHeitner Would this not be the same though at FSU, ALABAMA, OSU, USC, AU‚Ä¶ https://t.co/IJlj1zqbPB",FALSE,0,"VictorBuresch",2017-11-25 01:23:13,TRUE,"934226117082443776","934230961566437377","2924434024","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thomasj0426",0,FALSE,FALSE,NA,NA
"@kayakg8tor LolÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç man that was a great game! I say UF and FSU cancel the game and both critique each other in a Q&amp;A.",FALSE,1,"kayakg8tor",2017-11-25 01:13:16,FALSE,"934227898583699457","934228457533399044","222244462","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Moses_GPS",0,FALSE,FALSE,NA,NA
"@kayakg8tor Now that is very true. I know you saw that great game with USF vs UCF. Another game tomorrow with FSU vs UF",FALSE,0,"kayakg8tor",2017-11-25 01:09:23,FALSE,"934227080853716993","934227483452420096","222244462","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Moses_GPS",0,FALSE,FALSE,NA,NA
"@MattHayesCFB Can they play again tomorrow in UF and FSU uniforms?",FALSE,0,"MattHayesCFB",2017-11-25 00:20:32,FALSE,"934213910886014976","934215190417043457","216765454","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mstfl22",0,FALSE,FALSE,NA,NA
"More points in this game or fans watching UF/FSU? #WaronI4",FALSE,3,NA,2017-11-25 00:15:35,FALSE,NA,"934213943068909569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kflemin02",1,FALSE,FALSE,NA,NA
"This game fam. Don‚Äôt even need to watch UF vs FSU tomorrow.",FALSE,0,NA,2017-11-25 00:13:33,FALSE,NA,"934213431464464389",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","B_renton",0,FALSE,FALSE,NA,NA
