text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @Noles247: VIDEO: #FSU players and coaches celebrate after win over #UF https://t.co/PIMBMX69mk via @Noles247 https://t.co/l6gZ4rfzJF,FALSE,0,NA,11/25/17 23:12,FALSE,NA,9.3456E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",CNee247,16,TRUE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 23:11,FALSE,NA,9.3456E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SPEARnation80,70,TRUE,FALSE,NA,NA
"FSU entered the game with 10 takeaways. Had four today vs. UF, two for touchdowns. https://t.co/UkpbygvE6n",FALSE,4,NA,11/25/17 23:08,FALSE,NA,9.3456E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",BSonnone,0,FALSE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 23:04,FALSE,NA,9.34558E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",chuckie7754,70,TRUE,FALSE,NA,NA
RT @nguevara120: FSUâ€™s win streak against UF is a kindergartener now,FALSE,0,NA,11/25/17 23:02,FALSE,NA,9.34558E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",notbradywalter,186,TRUE,FALSE,NA,NA
RT @Noles247: VIDEO: #FSU players and coaches celebrate after win over #UF https://t.co/PIMBMX69mk via @Noles247 https://t.co/l6gZ4rfzJF,FALSE,0,NA,11/25/17 23:01,FALSE,NA,9.34558E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",WizzyBruhhhFit,16,TRUE,FALSE,NA,NA
RT @Tomahawknation: Alec Eberle praises the poise of FSU true freshman QB James Blackman https://t.co/J8Os8ZztNn,FALSE,0,NA,11/25/17 22:59,FALSE,NA,9.34557E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rudeger11,4,TRUE,FALSE,NA,NA
RT @ahamr01: Comparing FSU/UF to USF/UCF is like comparing Mercedes/BMW to FIAT/Smartcar,FALSE,0,NA,11/25/17 22:59,FALSE,NA,9.34557E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AlexandraM1997,76,TRUE,FALSE,NA,NA
RT @Noles247: VIDEO: #FSU players and coaches celebrate after win over #UF https://t.co/PIMBMX69mk via @Noles247 https://t.co/l6gZ4rfzJF,FALSE,0,NA,11/25/17 22:57,FALSE,NA,9.34557E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Raiders37Paul,16,TRUE,FALSE,NA,NA
VIDEO: #FSU players and coaches celebrate after win over #UF https://t.co/PIMBMX69mk via @Noles247 https://t.co/l6gZ4rfzJF,FALSE,67,NA,11/25/17 22:53,FALSE,NA,9.34556E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Noles247,16,FALSE,FALSE,NA,NA
VIDEO: #FSU players and coaches celebrate after win over #UF https://t.co/TgMBdTq91Z via @Noles247 https://t.co/OMZCceGF6C,FALSE,4,NA,11/25/17 22:53,FALSE,NA,9.34556E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",CNee247,1,FALSE,FALSE,NA,NA
RT @Dave1017_: FSU and UF are just two trash teams playing each other,FALSE,0,NA,11/25/17 22:53,FALSE,NA,9.34556E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ThatKidJbm,1,TRUE,FALSE,NA,NA
#GoNoles #FSU https://t.co/CVLTfLlRL0 Brian Burns enjoyed seeing FSU teammates recover turnovers  in win at Florida https://t.co/bL9MnUS1G1,FALSE,1,NA,11/25/17 22:53,FALSE,NA,9.34556E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",GOSEMINOLESGO,0,FALSE,FALSE,NA,NA
"RT @Andrew_Miller36: #UF QB Feleipe Franks on throwing three interceptions: ""Tom Brady throws three interceptions, anybody does it, it'sâ€_",FALSE,0,NA,11/25/17 22:53,FALSE,NA,9.34556E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FSU_Justin,19,TRUE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 22:49,FALSE,NA,9.34555E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ncbruins,70,TRUE,FALSE,NA,NA
RT @nguevara120: FSUâ€™s win streak against UF is a kindergartener now,FALSE,0,NA,11/25/17 22:42,FALSE,NA,9.34553E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JuliaDHenry,186,TRUE,FALSE,NA,NA
"RT @Andrew_Miller36: #UF fans emptying the stadium, and the #FSU fans chanting the warchant are louder than Florida's band.",FALSE,0,NA,11/25/17 22:41,FALSE,NA,9.34553E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",travyaaando,34,TRUE,FALSE,NA,NA
Brian Burns enjoyed seeing FSU teammates recover turnovers  in win at Florida https://t.co/zllyrWLaJ7,FALSE,10,NA,11/25/17 22:41,FALSE,NA,9.34553E+17,NA,"<a href=""http://www.voxmedia.com"" rel=""nofollow"">Vox Media</a>",Tomahawknation,1,FALSE,FALSE,NA,NA
Brian Burns enjoyed seeing FSU teammates recover turnovers  in win at Florida https://t.co/Si6P6RDjMJ,FALSE,11,NA,11/25/17 22:41,FALSE,NA,9.34553E+17,NA,"<a href=""http://www.voxmedia.com"" rel=""nofollow"">Vox Media</a>",Andrew_Miller36,1,FALSE,FALSE,NA,NA
"RT @mcmullenforus: UF IS COMPLETE ASS, IM GONNA GUARANTEE FSU BEATS THEM WITH THEIR WORST TEAM IN 40 YEARS.",FALSE,0,NA,11/25/17 22:40,FALSE,NA,9.34552E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",shutemdown14,2,TRUE,FALSE,NA,NA
FSU is like UF's douchey older brother,FALSE,3,NA,11/25/17 22:39,FALSE,NA,9.34552E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",rmase96,0,FALSE,FALSE,NA,NA
"RT @mcmullenforus: UF IS COMPLETE ASS, IM GONNA GUARANTEE FSU BEATS THEM WITH THEIR WORST TEAM IN 40 YEARS.",FALSE,0,NA,11/25/17 22:34,FALSE,NA,9.34551E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mcmullenforus,2,TRUE,FALSE,NA,NA
RT @GOSEMINOLESGO: #GoNoles #FSU https://t.co/siEdCJhfDZ Alec Eberle praises the poise of FSU true freshman QB James Blackman https://t.co/â€_,FALSE,0,NA,11/25/17 22:30,FALSE,NA,9.3455E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JonathanFarris0,1,TRUE,FALSE,NA,NA
Lets hope the rest of this semester goes just as good as the fsu vs uf game went í _í¸©í _í¸©,FALSE,9,NA,11/25/17 22:24,FALSE,NA,9.34548E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",E_Bermanator,1,FALSE,FALSE,NA,NA
RT @Tomahawknation: Alec Eberle praises the poise of FSU true freshman QB James Blackman https://t.co/J8Os8ZztNn,FALSE,0,NA,11/25/17 22:18,FALSE,NA,9.34547E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",21papaslice21,4,TRUE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 22:17,FALSE,NA,9.34547E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mrob28,70,TRUE,FALSE,NA,NA
"RT @NoleGameday: TOCUHDOWN Cam Akers. #FSU 31 - UF 1611:21 - 4th Q https://t.co/G5OFcGjBqo",FALSE,0,NA,11/25/17 22:13,FALSE,NA,9.34546E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FSUmoonman,41,TRUE,FALSE,NA,NA
#GoNoles #FSU https://t.co/siEdCJhfDZ Alec Eberle praises the poise of FSU true freshman QB James Blackman https://t.co/jR96LYPsjd,FALSE,3,NA,11/25/17 22:13,FALSE,NA,9.34546E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",GOSEMINOLESGO,1,FALSE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 22:13,FALSE,NA,9.34546E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",alexisvillaxo,70,TRUE,FALSE,NA,NA
"RT @Andrew_Miller36: #UF fans emptying the stadium, and the #FSU fans chanting the warchant are louder than Florida's band.",FALSE,0,NA,11/25/17 22:07,FALSE,NA,9.34544E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NOvieraLE,34,TRUE,FALSE,NA,NA
"RT @Andrew_Miller36: #UF fans emptying the stadium, and the #FSU fans chanting the warchant are louder than Florida's band.",FALSE,0,NA,11/25/17 22:07,FALSE,NA,9.34544E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Annabfoster,34,TRUE,FALSE,NA,NA
Alec Eberle praises the poise of FSU true freshman QB James Blackman https://t.co/J8Os8ZztNn,FALSE,19,NA,11/25/17 22:04,FALSE,NA,9.34543E+17,NA,"<a href=""http://www.voxmedia.com"" rel=""nofollow"">Vox Media</a>",Tomahawknation,4,FALSE,FALSE,NA,NA
Alec Eberle praises the poise of FSU true freshman QB James Blackman https://t.co/FzQ3iz5UZe,FALSE,8,NA,11/25/17 22:04,FALSE,NA,9.34543E+17,NA,"<a href=""http://www.voxmedia.com"" rel=""nofollow"">Vox Media</a>",Andrew_Miller36,0,FALSE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 22:02,FALSE,NA,9.34543E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lauriemartin_,70,TRUE,FALSE,NA,NA
RT @nguevara120: FSUâ€™s win streak against UF is a kindergartener now,FALSE,0,NA,11/25/17 22:00,FALSE,NA,9.34542E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mitch_purdue,186,TRUE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 21:58,FALSE,NA,9.34542E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Macie_Horton,70,TRUE,FALSE,NA,NA
RT @nguevara120: FSUâ€™s win streak against UF is a kindergartener now,FALSE,0,NA,11/25/17 21:58,FALSE,NA,9.34542E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",SwitchedAtB,186,TRUE,FALSE,NA,NA
FSU and UF are just two trash teams playing each other,FALSE,1,NA,11/25/17 21:58,FALSE,NA,9.34542E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Dave1017_,1,FALSE,FALSE,NA,NA
RT @nguevara120: FSUâ€™s win streak against UF is a kindergartener now,FALSE,0,NA,11/25/17 21:58,FALSE,NA,9.34542E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Andrew_Ferrelli,186,TRUE,FALSE,NA,NA
Three things we learned following FSU's fifth straight win over UF https://t.co/DuPZt0j5KI https://t.co/6ply6IxsNE,FALSE,4,NA,11/25/17 21:57,FALSE,NA,9.34542E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",osfsu,0,FALSE,FALSE,NA,NA
RT @ahamr01: Comparing FSU/UF to USF/UCF is like comparing Mercedes/BMW to FIAT/Smartcar,FALSE,0,NA,11/25/17 21:57,FALSE,NA,9.34541E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_sydneyreynolds,76,TRUE,FALSE,NA,NA
RT @nguevara120: FSUâ€™s win streak against UF is a kindergartener now,FALSE,0,NA,11/25/17 21:54,FALSE,NA,9.34541E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Shellyy_kellyy,186,TRUE,FALSE,NA,NA
RT @ahamr01: Comparing FSU/UF to USF/UCF is like comparing Mercedes/BMW to FIAT/Smartcar,FALSE,0,NA,11/25/17 21:52,FALSE,NA,9.3454E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",micaelaensey,76,TRUE,FALSE,NA,NA
UF just taking L's all day.  Chip Kelly and FSU.  Frost will probably be next by staying at UCF or going to Nebraska.,FALSE,2,NA,11/25/17 21:50,FALSE,NA,9.3454E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FSUMogle,0,FALSE,FALSE,NA,NA
RT @nguevara120: FSUâ€™s win streak against UF is a kindergartener now,FALSE,0,NA,11/25/17 21:50,FALSE,NA,9.3454E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",P_Hats0424,186,TRUE,FALSE,NA,NA
RT @nguevara120: FSUâ€™s win streak against UF is a kindergartener now,FALSE,0,NA,11/25/17 21:49,FALSE,NA,9.3454E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Nick__Litt,186,TRUE,FALSE,NA,NA
"RT @GableBailey: â€œPeople only go to FSU because they canâ€™t get into UFâ€ùMe:#RivalryWeek #beatUF https://t.co/gAy4NZ1HxZ",FALSE,0,NA,11/25/17 21:48,FALSE,NA,9.34539E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",paytonrenee99,17,TRUE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 21:45,FALSE,NA,9.34539E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",aaronisbyke,70,TRUE,FALSE,NA,NA
"RT @Andrew_Miller36: #UF fans emptying the stadium, and the #FSU fans chanting the warchant are louder than Florida's band.",FALSE,0,NA,11/25/17 21:39,FALSE,NA,9.34537E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",skipfoster,34,TRUE,FALSE,NA,NA
"RT @Andrew_Miller36: #UF fans emptying the stadium, and the #FSU fans chanting the warchant are louder than Florida's band.",FALSE,0,NA,11/25/17 21:37,FALSE,NA,9.34537E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tpnolefan1,34,TRUE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 21:35,FALSE,NA,9.34536E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mjhart,70,TRUE,FALSE,NA,NA
"RT @Andrew_Miller36: #UF fans emptying the stadium, and the #FSU fans chanting the warchant are louder than Florida's band.",FALSE,0,NA,11/25/17 21:35,FALSE,NA,9.34536E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AlexTruax1,34,TRUE,FALSE,NA,NA
RT @Noles247: Follow coverage of FSU's 5th straight win over UF at https://t.co/G0YxGVEcRX https://t.co/K5x5gFvuPv,FALSE,0,NA,11/25/17 21:32,FALSE,NA,9.34535E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DHallNole,9,TRUE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 21:30,FALSE,NA,9.34535E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The_Real_MikeL,70,TRUE,FALSE,NA,NA
"RT @Andrew_Miller36: #UF fans emptying the stadium, and the #FSU fans chanting the warchant are louder than Florida's band.",FALSE,0,NA,11/25/17 21:29,FALSE,NA,9.34535E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DannyAller,34,TRUE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 21:29,FALSE,NA,9.34534E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",boxbw,70,TRUE,FALSE,NA,NA
RT @ahamr01: Comparing FSU/UF to USF/UCF is like comparing Mercedes/BMW to FIAT/Smartcar,FALSE,0,NA,11/25/17 21:26,FALSE,NA,9.34534E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mikxxt,76,TRUE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 21:26,FALSE,NA,9.34534E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",seminoles84,70,TRUE,FALSE,NA,NA
Iron Bowl still has about 15 unsportsmanlike penalties to go to reach the FSU/UF level today.,FALSE,0,NA,11/25/17 21:24,FALSE,NA,9.34533E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FSUMogle,0,FALSE,FALSE,NA,NA
RT @DomTayy: Why would UF make this game their senior day game knowing this senior class has never beaten FSUí _í¸‚ #FSUvsUF,FALSE,0,NA,11/25/17 21:23,FALSE,NA,9.34533E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",21papaslice21,2,TRUE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 21:21,FALSE,NA,9.34532E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BtCoussons,70,TRUE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 21:20,FALSE,NA,9.34532E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DHallNole,70,TRUE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 21:19,FALSE,NA,9.34532E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ElDon78,70,TRUE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 21:17,FALSE,NA,9.34532E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",OnyxKunoichi,70,TRUE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 21:16,FALSE,NA,9.34531E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JayErv,70,TRUE,FALSE,NA,NA
"#UFvsFSU , play of game for #FSU was 40-yarder to Lane.  Followed a #UF sack and was a single score game and all moâ€_ https://t.co/MmE5OWMtgJ",FALSE,1,NA,11/25/17 21:15,TRUE,NA,9.34531E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mmanausa,0,FALSE,FALSE,NA,NA
